Company name, Email, Telephne, website
Troy Catering Foundation, w1w4w0w4@hotmail.com, 0505121064, NaN
A magnificence of the power of commercial food, ismoarf65@gmail.com, 0558111246, NaN
kaian arabic, noonh17@hotmail.com, 0555618574, NaN
Developing International Company, sh.faisal@radadi.sa, 0541111008, NaN
saudi sicli, maljadaani@saudisicli.com.sa, 0554239125, NaN
EJADTECH, info@ejadtech.com.sa, 0562562561, http://www.ejadtech.com.sa
East & West Exports Trading Services Est, ahmad.shamrani.2@gmail.com, 0591771777, NaN
aryam alsham est, b.dr1978@hotmail.com, 0561344433, NaN
nadheed altalea est trading, man140n@gmail.com, 0557718115, NaN
Arab Pyramid Trading Est, nahdi888@gmail.com, 0545544688, NaN
Branch of Abdul Basset Mahmoud Qureshi Foundation, amq973@hotmail.com, 0509757292, NaN
CESAR GULF INTERNATIONAL SERVICE TRADING, mjaouadi57@yahoo.com, 0500080073, NaN
Yousef Abdullah Al Dakhil Trading Est, abdulph92@gmail.com, 0533434777, NaN
Emerald Beach Co. Ltd, abdulbasir.reza@yahoo.com, 0559400509, NaN
Rajwa Company, deda2221@gmail.com, 0553330803, NaN
dkhoun national trading company, assem@dkhoun.com, 0504376133, NaN
ali.a altamimi trading and contracting co., abalajmi@tco.com.sa, 0558884141, http://www.tco.com.sa
hatem mohammed alghamdi trading establishment, amg999_999@hotmail.com, 0536277799, http://not%20found
Advanced Printing Trading Co, salem@printechs.com, 0544099707, http://www.printechs.com
Tamour Trading Company, yalgharbawi@wmegroup.co, 0569631111, NaN
Forsam Traing Group, saturky@forsamgroup.com, 0551166983, NaN
Fahad Matog S Al Farhan Commercial Services Office, gccalfarhan@gmail.com, 0546003889, NaN
ACROSS BRIDGES, NaN, NaN, http://www.acrossbridges.sa
ALjameel international , nada.sufian@gmail.com, 0541449946, http://www.aljameelfood.com
Nedaat, zahranih@gmail.com, 0551737372, NaN
Rose Al Khafji Trading Est, fahad.nz@outlook.com, 0533625554, NaN
DASH CO LTD, alharthi26@gmail.com, 0552104033, NaN
Reef Cosmetics Company, modofetsh@gmail.com, 0555774488, NaN
hussain alqatan trading est, h.a.alqatan@gmail.com, 0500011926, http://www.ubtrades.com
Ziyad Abdulrahman Al Shehab Trading Est, ziyad_alshehab@hotmail.com, 0506191599, NaN
Alnahalaljwal Foundation, faiz@alnahalaljwal.com.sa, 0503838777, http://www.alnahalaljwal.com.sa
randa chemical factory, randa_chemical@yahoo.com, 0569643447, NaN
kinzy arabia co., atr.9@hotmail.com, 0506633344, NaN
genie Perfume and Cosmetics Factory, ksa@geniecollection.com, 0501211200, http://www.geniecollection.com
Establishment / Raboua Al - Musmak Trading for its owner / Abdullah Sweid Mohammed Al - Sweden., hanims5353h@gmail.com, 0555475787, NaN
Al-Dakhil Investment, jameel@digas.com.sa, 0599381381, http://www.digas.com.sa
Foundation fingerprint success to its owner Adel Saleh Mohammed Harbi, basmatnajah1@gmail.com, 0503343359, NaN
Arkad Engineering and Construction Co, fahad@arkad.com, 0566597777, http://www.arkad.com
Essam Abdulaziz Aldawood trading, essam_aldawood@hotmail.com, 0590404004, http://www.ghainaa.com
Arkan Development CO LTD, fahad@arkangroups.com, 0504897391, NaN
Abdullah A. Al Haiki Est., alhaiki.est@hotmail.com, 0543787444, NaN
Future  Trend Trading Co, coo@futuretrend.sa, 0590700111, http://www.Futuretrend.sa
A V O Ar, saadkhan5005@gmail.com, 0540785167, http://www.text.com
seasons of fruits  trading, fahd-99999@hotmail.com, 0591000052, NaN
Office of Astrolab Commercial Services to owner Adel Ali Al - Hassoun, shams@escc-ksa.com, 0504462638, NaN
Factory hydraulic Centeer Lnc, a.hah1399@hotmail.com, 0504218104, NaN
Global Gypsum Co, ab@global-gypsum.com, 0505717706, http://www.global-gypsum.com
Mani Company for Operation and Maintenance, m.s.s@maniksa.com, 0532999547, NaN
saudi sulb, abdullah.alsulimani@sulbsaudi.com.sa, 0530333487, http://www.sulbsaudi.com.sa
ad-art medyan signs, info@adart.com.sa, 0568640806, NaN
Abdulaziz & Saad Al Mojel Trading & Investment Co. (Closed), msadek@almoajilholding.com, 0562689433, NaN
MAJID ALRIKAI CONSTRUCTION AND MINING, mr88@majidgroup.net, 0505413514, NaN
Tharwah Al Hijaz Trading Est, thrwat.alhijaz.ksa@gmail.com, 0556899677, NaN
Abdullah Ali Al Tamimi Trading Est, mujeeb@aat-global.com, 0559461262, NaN
Al Mezan Natural Trading Co, hashem@almizannatural.com, 0566544442, NaN
Shorouk Saudi Trading Est, alshorok.ksa@hotmail.com, 0562232392, NaN
Al - Sindeen House Trading Est, m.soliman@sindian.sa, 0556242691, NaN
Ahmad abdulaziz badran factory co for plastic paper industry, ahmadbadran@badranplast.com, 0500536750, NaN
Advanced Technology system, jamalbf@gmail.com, 0509586715, NaN
Fajr Next Trading Est, aa500060608@gmail.com, 0500060608, NaN
Nebras Asia Co. Ltd., nebrasasia@yahoo.com, 0505375888, NaN
The Digital Counter of Commercial Services Est, jehad@alamthl.com, 0555679244, NaN
Yanbu Specialty Chemicals Factory, shahad@yascp.net, 0545925684, NaN
Ennahara Commercial Services Office, alsalhi418@gmail.com, 0504470801, NaN
Springs Beverage Factory and flexible packaging , rami@springsbeverage.com.sa, 0555190670, http://www.capri-sun.com
Zamil Heavy Metal Industries, faqarni44@gmail.com, 0553078120, NaN
MAFAD TRADING COMPANY, salman@conezone.com.sa, 0555259099, NaN
sameer abdulmohsen nasser alhumaidan communication and information technologies company  , mi.alhumaidan@gmail.com, 0506861731, http://www.avanture.sa
Company Business Credibility Trading, alaghbari@bvt-mena.com, 0563366036, NaN
Plastic Corner Plastic Factory, thamern@hotmail.com, 0506420440, https://www.plast-corner.com/
Al - Mahbaj Al Shamiah Trading Company, alanezi555@gmail.com, 0581331442, http://www.almhbaj.com.sa
Al Wifaq National Steel Factory, saud.alomari@gmail.com, 0544997722, NaN
FIVE STARS TECHNICAL CO. LTD, ahmed@tristartech.com, 0506558833, NaN
Arkaz Alsharq Bulding Matirials , majed.aljaffar@arkaz.com, 0566499987, NaN
Makana Industrial Development Company, nasrhazza1@yahoo.com, 0502275955, http://moqna.com
SULTAN ALTUMOOR FACTORY, fwhmodi@hotmail.com, 0556240500, NaN
ZAHRA HYGIENIC PAPER PRODUCTS FACTORY CO, kh4ever2008@hotmail.com, 0556734419, http://www.zahratissue.busines
national factory for specialized industry, faisal.alomari@facmb.com, 0541050011, NaN
Saber Glass Factory, fahad@sabergroup.com.sa, 0555812352, http://www.sabergroup.com.sa
The Seven Oceans Est, maha86@outlook.com, 0507487357, https://Halawinaa.com
Riyadh Hills Trading Company, abdulaziz@qahwati.com, 0596801500, NaN
Alhilal Modern Plastic, alhajrim55@gmail.com, 0555999750, NaN
Fayez Mohammed Al Qathami Iron Est, faiz58@hotmail.com, 0501083452, https://alnahalaljwal.com.sa
Technical Tetravalent Lead Smelting Plant, selmi80@hotmail.com, 0561024698, NaN
Al Aryaf Bakery & Sweets, hr.saudi1982@gmail.com, 0505322881, NaN
Supply Facility, aoab11@gmail.com, 0557655000, NaN
VISION SQUARE TRADING AND  MARKETING , info@vision4c.com, 0552724272, http://vision4c.com
The Golden Debs Factory for packing dates and derivatives, aujan.06496@hotmail.com, 0505937501, NaN
Siddiq Al - Sahra Plastic Factory, 4fplastic@gmail.com, 0569695013, http://www.4fPlastic.com
Saudi Preinsulated Pipes Industries LLC, mohammed_namlah@saudirockwool.com, 0554755788, NaN
K B E Saudi Arabia, kboutros@kbeinternational.com, 0565453972, http://www.kbeinternational.com
Future Face For Information Technology, saad@futureface.sa, 0507737477, http://www.futureface.sa
Arab Pipe & Services Co. Ltd., raed@anabeeb.com, 0505901950, NaN
Fawwaz abdullah factory aluminum tanks, fawwaztwer@gmail.com, 0509855328, NaN
Factory Alama Projects, mohammad_212@hotmail.com, 0500505175, NaN
Fahad Bin Mahdi Al Ghadeer Trading Est, fahad@fahadest.com, 0505926688, NaN
ARASCO Fodder and Concentrates Factory Branch of Arab Company for Agricultural Services, s223576@hotmail.com, 0563265052, NaN
ALHALAL MEDICAL DETECTION FACTORY, info@crescentksa.com, 0532387804, http://www.crescentksa.com/
Jazan Development company, abusharha@jazadco.com.sa, 0555770036, NaN
ebdaa alula, alebdaa2002@hotmail.com, 0555165954, NaN
Cells Cooling Co, rasheed@cellscooling.com, 0555333928, http://www.cellscooling.com
Musabb Thabet Thabet Contracting Est, althabtoud@gmail.com, 0505724689, NaN
Batala Dates Foundation, talal.o.d@gmail.com, 0560440044, NaN
Innovation Food Trading Company one person, ahmed@foodsinn.net, 0555895599, NaN
Arabian Company for Chemical Products, mansour.m.aljarboa@apcoksa.net, 0545499332, NaN
Mohammed Lafi Al Harbi Company and Partner, zxc777710@yahoo.com, 0569086313, NaN
Saudi Factory for Wood Products, mohamed_invent@yahoo.com, 0569708264, NaN
Factory Dahmer Daham, it@biico.sa, 0544058850, NaN
A thriving shop for wholesale and retail trade, mothmer.com@gmail.com, 0503330637, http://www.mothmera.com
Al - Ramli Trading Company, a.alsuwayed@alramly.com, 0505564444, NaN
NABHA RUBBER FACTORY CO, fattah@nabharubber.com, 0591622224, NaN
Palm Trading Est, fahadspecial767@gmail.com, 0563006003, NaN
Tibat Al Wadi Trading Est, bmab88@gmail.com, 0505856290, NaN
Active Polymers, bader@activepolymers.co, 0554266043, http://www.activepolymers.co
Abdullah bin taleb for swimming pools company , bintaleb@bintaleb.com, 0505422889, NaN
alomran industrial & trading co, omran56@gmail.com, 0500083389, NaN
Al Kharazah Leather Industry Factory, kharazah.m@gmail.com, 0598890175, http://kharazah.com
Modern Dam Company, m.abdalla@seqagroup.com, 0506996563, http://www.alsadcap.com
musk  international , long_life_222@hotmail.com, 0555651879, NaN
GULF FACTORY COMPANY FOR STEEL INDUSTIES LTD, aziz.alsahli@yahoo.com, 0555674000, NaN
ASK Cement Tiles Factory, fahd.abufaisal@gboard-sa.com, 0553620208, NaN
samihalbashirfactoryforheavyindustries, samih@albashirsteel.net, 0552654800, NaN
ALRAZI PHARMA IND, m.aljuraid@alrazi-pharma.com, 0500080978, NaN
Rahi Water Treatment Est. By Ibrahim Abdullah Al Rahimi, raha@rahawater.com, 0555393424, NaN
Oren chemicals manufacturing company, wakeel@orenme.com, 0506045920, NaN
RPM Saudi Arabia LLC., khalidhussainalialbadawi@stoncor-me.com, 0559655224, NaN
Al-Hejaz Company for Catering Services, dgm70076@gmail.com, 0500070076, http://www.QH-FOOD.COM
Al Omran Kitchens Factory, ianfo@alomranco.com, 0502884411, NaN
National Factory for Aluminum Products Development, rabetal@gmail.com, 0505182026, http://www.rabetal.com
Makkah Water Co Safa, kmb123@gmail.com, 0504504686, NaN
Alshifa Medical Syringe Mfg. Co, naeem@alshifa.com, 0555042284, NaN
Al-Obeikan Elopak Factory , kashif@obeikan.com.sa, 0557498961, NaN
Al - Madina Al - Manoura Factory for Carpets and Charges, ralnahary@sanadi.sa, 0540403353, NaN
Al - Dokl Factory for Leather Tanning and Leather Manufactures, dagalh@gmail.com, 0505301616, http://www.al-dagal.com/contact-us/
mujally ahmed bamujally united co, sales2@wadifatma.com, 0554008051, NaN
AL-Khalejiah Mattresses Factory, salemaalnahdi@gmail.com, 0559910801, http://www.maccressesgulf.com
BK Middle East, malghamdi@bk-packaging.com.sa, 0565794929, http://www.bk-international.com
Sindi thobe , fatma@sindithobe.com, 0548110044, NaN
Al Babtain Liplank Communication Systems Limited, omar.alrasheed@abltel.com, 0542114440, NaN
Mkkah Car Paint Factory, omar@aka.com.sa, 0544190066, NaN
Energya of galaxies , wam@energya-int.com, 0555512853, NaN
TAYAR ELECTRICAL APPLIANCES FACTORY, pftayyar@hotmail.com, 0504499474, NaN
Saudi Arabian Lube Additives Company , m.alqahtani@salaco-sa.com, 0505623352, NaN
Al-Tawi Company Factory For Ready Mix-Concrete, eng.mohammed.f.e@hotmail.com, 0504774187, http://www.altawireadymix.com.sa
SAUDI ETHYLENE & POLYETHYLENE CO, s.alghamdi@tasnee.com, 0505854333, http://www.tasnee.com
Al - Wissam Star Company for Chemical and Organic Fertilizers, info@altalebgroup.com, 0505204443, http://www.alwessam.net/FERTILIZERS/ar/index.htm
island plastic factory, h_100@windowslive.com, 0551812566, NaN
Zamil Air Conditioners & Appliances Co, dondieferman@zamilindustrial.com, 0562328203, NaN
Smart Windos, magdyeladl@smartwindos.com, 0560476143, NaN
Rasmat Layan Company, rasmatlayan@gmail.com, 0560623378, http://www.rasmatlayan.com
Islandprawn Company, bajaber@islandprawn.com, 0507799123, http://www.islandprawn.com
Omaimah Ibrahim Al Badri Feeding Factory, danya.hadediah@gmail.com, 0500076553, NaN
BADAYA BASIC MEDICAL EST, h05052257@gmail.com, 0505225787, NaN
Saudi Carpet Making Company, awad.m@mattex.com, 0556646108, http://www.mattex.com
Saudi Road Coating Company, romac@romac-nrs.com.sa, 0536565689, NaN
Exported factory for gypsum decorations and metal screens, albodrees@albodreesgroup.com, 0545554186, NaN
ABDUL AZIZ ALZIAD AHAMD ALMUHAIDEB PARTENERS COMPANY, ra2015haman@gmail.com, 0563668626, NaN
Cooperatives for food industries, alqtami@yahoo.com, 0555754106, NaN
Ajyal Pharmaceutical Industries Ltd., musaad.abdullah@ajapharma.com, 0504443868, NaN
Abdelhadi A.Alqahtani&Sons Ltd.Beverages Industry Company, alialodadi@yahoo.com, 0505753452, NaN
obeikan technical fabric, a.almas@obeikan.com.sa, 0566779929, NaN
Salman Ali Al Sunan Trading Est, alsinan5@hotmail.com, 0565977977, NaN
Zamil Steel Holding, hamads@zamilindustrial.com, 0556833338, http://www.zamilsteel.com
AL-BABTAIN ENGINEERING &INDUSTRIAL CO., tarek@abeico.com.sa, 0556577618, NaN
wasaalf aljanoob factory, ashrafmansour555@gmail.com, 0598761310, NaN
National Technology Company, majaly_2005@hotmail.com, 0593790078, http://www.majaly.com.sa
RIYADH FACTORY FOR THERMO INSULATION AND PACKING MATERIALS, muzamil@dalilalsouk.com, 0503220597, http://www.styrotech.com.sa
Geshdah Dates Factory, geshdah@gmail.com, 0504281384, NaN
albalon factory, m.aldaham@gmail.com, 0544447226, http://theballoonfactory.sa/web/
Modia A Batterjee Trading , modiab2000@yahoo.com, 0563937777, http://www.datemeboutique.com
Naeem foods sweet factory, hema63e@hotmail.com, 0533510358, http://www.naeemfoods.com
Construction Material Chemical industries, ifthakhar@avi-sa.com, 0507365536, NaN
Hertz Equipment Rental, khalid.albakheet@hertzdayim.com, 0506822277, NaN
diamond factory industrial marble, aoa_123@hotmail.com, 0504972258, NaN
GE saudi advanced torbines, misfer.alghamdi@gesat.com.sa, 0503457810, http://www.gesat.com.sa
EMERS MINERALS ARAB CO. LTD, osama.elamari@imerys.com, 0542575060, NaN
Naba Water Factory, sales@nabawater.com.sa, 0554415070, NaN
Bostani Factory for Chocolate and Gifts, m.omar@bostani.be, 0542348455, http://www.bostsnichocolate.com
Middle East Metal and Wood Industries Co, s.alswailem@metalco.com.sa, 0553750750, http://www.metalco.com.sa
Amjad Aljazira trading company, zoul2000@hotmail.com, 0505239041, http://www.amjad%20aljazira.com
Al - Safa Aluminum Manufacturing & Contracting Company, mansour@safaarc.com, 0504683696, NaN
Alqahtani pck pipe company, muhammad.ali@ahqpck.com, 0503811983, http://www.ahqpck.com
Baker Hughes Saudi Arabian Company, naif.alajaj@bakerhughes.com, 0551587350, https://www.bhge.com/
Eastern provenance cement company, fahad@epcco.com, 0560025480, http://www.epcco.com.sa
alrahma plastic facorty, taha_group1@yahoo.com, 0537100730, NaN
Taiba Paper Products Factory, adam@tpf.com.sa, 0559908607, http://www.tpf.com.sa
موسسة مالك معاذ فلاته, malekfallatah@gmail.com, 0593333805, NaN
Alghandoura company manuc. plastic, haykal@ghanplastco.com, 0505606194, NaN
Saudi master baker limited, gamals@saudi.switzgroup.com, 0509862373, NaN
Alqaseem Gypsum Company, s.almishari@alqaseemgypsum.com.sa, 0555009999, NaN
UCIC – United Cement Industrial Company, mameen@unitedcement.com.sa, 0555347105, https://unitedcement.com.sa/?lang=ar
aljrdan group, jardanig@gmail.com, 0555478532, NaN
TYNE Gulf Industrial Company, msalah@bisantrading.com, 0544888984, NaN
Al - Jaza'a Factory for Production of Baloethylin, mhd_dosoky@hotmail.com, 0545913600, http://al-jazeaindustrial.com.sa
branch of alfadel, hussam.alfade@gmail.com, 0548885532, NaN
Del Monte Arabia, sbafadel@freshdelmonte.com, 0503688687, http://www.delmontearabia.com/careers-ar.aspx
Roaa Sweets Est, roaa@missfeionkah.com, 0568227766, NaN
International Technology for Electrical Systems, abdul-rhman.al-attas@ites-sa.com, 0504226109, http://www.ites-sa.com
Capability Solutions Expert for Telecommunication and Information Technology, m.abbas@esconsulting.com.sa, 0508954299, https://aliqtisadi.com
allamaa trading company , masfer@allamaa.com, 0590804020, https://www.allamaa.com
Global Anti Corrosion Techniques Company, NaN, NaN, http://www.globetechinternational.com
Qassim tissue factory , fawzytissue@hotmail.com, 0545282801, NaN
Zawaya Sweets for wholesale and retail, mssmkr@yahoo.com, 0564447305, NaN
INNOVATIVE PLASTIC COMPANY LTD, info@ipcksa.com, 0502085544, http://www.ipcksa.com
THE NATIONAL COMPANY FOR CLEANING &PAINT BRUSHES  (NIBCO ), monther.1963@hotmail.com, 0505441886, NaN
Saudi Plastic for Packaging systems company , nhassan@takweenai.com, 0504222063, http://www.takweenai.com
Najd Export Est, mr.khalid.ksa@gmail.com, 0502141331, NaN
Yanbu Cement Company, sameer@yanbucement.com, 0555628776, NaN
alahli leather factory, info@al-hlileather.com, 0508080100, NaN
Tassne alldaen Company, dr.saleh@tacogroup.net, 0555331283, NaN
waheeb factory for storage systems, hassnn@yahoo.com, 0555552627, NaN
Dome Bottled Water Factory, thamer@dome.sa, 0568888938, NaN
Bitumat , bader@bitumat.com, 0591711117, http://www.bitumat.com
TAHWEEL BUILDING TRADING COMPANY, s.alomran@tahweel.com, 0555552260, NaN
Adama Shamran Catering Company Limited, m.shamran@hotmail.com, 0532233355, http://www.admashamran.com
ALMAJDOUIE METAL INDUSTRIES  , aymang@almajdouie.com, 0593799335, http://www.almajdouie.com
Amwaj Telecommunication Factory, hamdan@amwajfactory.com, 0559091322, NaN
QAMAR  FACTORY FOR GOLD AND JEWELLERY, yousef55518@hotmail.com, 0505879457, NaN
marbl factory of mona abdulh al qahtani, monamix1@gmail.com, 0509050908, NaN
Al Rayyan Plastic Products Company, sales@rayanplastic.com, 0541713739, http://www.rayanplastic.com
One factory has two re-recycling paper and carton, a_a_h2008@hotmail.com, 0557871555, NaN
Al - Laila Dates Foundation, abdullah@al-lina.sa, 0540544054, http://www.allina.sa
QUANTUM SOLUTIONS, marat.lutfullin@quantum-solutions.com, 0563023423, http://www.quantum-solutions.com
bahrain star factory for food industries, b.starfactory@gmail.com, 0555716544, NaN
Ronas Perfumes Store, a_alabdan55@hotmail.com, 0505121064, NaN
Textile factory, aa.ayed@hotmail.com, 0555180355, NaN
Ahmed Mohammed Saeed Building Materials Factory, aleem.4vip@hotmail.com, 0558822307, NaN
Saudi Steel Pipe Company, alatif@sspipe.com, 0544111196, NaN
Al Khafra Holding Company, ali@alkhafrahgroup.com, 0569912103, http://WWW.alkhafrah.sa
Exported factory for gypsum decoration and metal strips, abdullahsamb@gmail.com, 0545554186, NaN
tqnee, tqnee.fahad@gmail.com, 0548003666, http://www.tqnee.com.sa
Modern Isotopes Factory, yousef.mteir@gisotopes.com, 0534309557, NaN
Taiba Holding Company, elfasy@gmail.com, 0546626110, http://www.taiba.com.sa/
Bruges Plastic Factory, baqermustafa_1992@hotmail.com, 0548236598, http://www.BOROUGEPF.COM
Plastic Est. Factory, hr@masabplastic.com, 0544408101, NaN
EMERS MINERALS ARAB CO. LTD, osama.elamari@imerys.com, 0542575060, NaN
Naba Water Factory, sales@nabawater.com.sa, 0554415070, NaN
Bostani Factory for Chocolate and Gifts, m.omar@bostani.be, 0542348455, http://www.bostsnichocolate.com
Middle East Metal and Wood Industries Co, s.alswailem@metalco.com.sa, 0553750750, http://www.metalco.com.sa
Amjad Aljazira trading company, zoul2000@hotmail.com, 0505239041, http://www.amjad%20aljazira.com
Global pipe company, abdulaziz.khalil@globalpipe.com.sa, 0553885665, http://www.globalpipe.com.sa
Schneider Electric Plants Saudi Arabia, yahya.ashgan@se.com, 0504623809, NaN
Baja Food Industries Co, a.almufada@baja.com.sa, 0504923299, http://www.baja.com.sa
Opal United Concrete Products Factory, opalburaidah@hotmail.com, 0503139585, NaN
Diyar Al Ghadeer Company Limited, montader@alghadeerice.com, 0598182118, http://www.alghadeerice.com
Sama Makka Factory for Plastic Products, sammamk2009@hotmail.com, 0500894214, http://not%20found
NEW PRODUCTS INDUSTRIES CO.LTD, osama@neproplast.com, 0126363558- 2030, NaN
alghadeerice company, montader@alghadeerice.com, 0598182118, http://alghadeerice
SAPPCO DAMMAM FACTORY, sapdam@sappco.com.sa, 0555201465, NaN
Khaled Abdullah Aba Al Khail Trading Est, kammk_111@hotmail.com, 0505790179, NaN
middleeast-paperbags company, middleeast-paperbags@hotmail.com, 0554499330, NaN
Saad Abdulrahman Al - Nahed Factory for the production of napkins, saadalnahedh@gmail.com, 0544454419, NaN
saudi dunes for recycling oil factory , m@petrodunes.com, 0502366666, NaN
Raji Hussein S. Alamoudi Plastic Industries, raji@roshana.com.sa, 0555525772, NaN
Alandalus factory , sultan@alandallus.com, 0555606667, NaN
aljof agriculture  development, y.hamdi@aljouf.com.sa, 0598830661, NaN
Telden Plastic Solutions Co, s.alsoud@taldeen.com.sa, 0544343297, http://www.Telden.com.sa
Abdulla Aljebeli victory , aljabali888@gmail.com, 0503964896, NaN
The factory of aljouf land farms for packing food, aljofoil@hotmail.com, 0557558492, NaN
ENERGY PIONEERS FACTORY FOR INDUSTRY, abdullah-n@live.com, 0555678080, NaN
ABDULHADI TAHER & PARTNERS CO LTD FACTORY, alboraim@cictg.com, 0599998495, http://www.cictg.com
Factory Tech Advanced Cards, emad@ect-card.com, 0503187602, http://www.actcard.net
Nama Arabia Apparels Co Ltd., fawzi@alnahdico.com, 0505662982, NaN
Al Takamol typical Factory for Plastic Industries2, factory@altkamol.com.sa, 0505359849, http://www.almarbae.com
Gulf Packaging Industries Limited, shaya@gulfpack.com.sa, 0506173771, http://gulfpack.com.sa/
Savola Foods company, baujan@savola.com, 0505803474, NaN
alshraqyah Operation and Maintenance, naeem.almumten@ashomco.com, 0555964444, NaN
Al-Mutawa Instruments, ali.humood@ami-sa.com, 0593299823, http://www.almutawa.com.sa
Henkel Arabian, daifullah.alsalmi@henkel.com, 0505266433, https://www.henkel.com/
company vision of investment, m-o-alo@hotmail.com, 0557808069, http://www.mr2030.com
Al Qassim Foodstuff Factory, info@qfarming.com, 0568509999, http://www.qfarming.com
VEOLIA WATER SOLUTIONS AND TECHNOLOGIES SAUDI CHEMICAL INDUSTRIES, NaN, NaN, http://www.veoliawatertechnologies.com
Sulaimani National Plastic Products Factory, a-sulimani@live.com, 0561206130, http://www.snf.sa
ALGHARBIA PLASTIC FACTORY, algharbiaplastic@yahoo.com, 0506605099, NaN
alrouf electrical accessories manufacturer , logistic@alrouf.com.sa, 0538613645, http://www.alrouf.com.sa
Dar Al Safwa Advanced Company, f.n.f2002@hotmail.com, 0560563000, http://www.earsafwa.com
